"<empty_1>","Word","Example","Class"
1,"party","n. a social atmosphere that includes mixin' and mingling; something mind-blowingly fun. ;; adj. an event that's huge in magnitude; a crazy time. ;; v. gettin' it on.",1
2,"bud","marajuana",1
3,"junk","the stuff that you leave lying around on your bedroom floor when youare busy having sex.",1
4,"faded","piss drunk!",1
5,"BYOC","Acronym: Bring Your Own Crap. Similar to [BYOB] or [BYOM].",1
6,"BYOB","Acronym: Bring Your Own Beer. A party where the alcohol is not provided.",1
7,"PPP","Poorly Produced Production. A television, radio or print publication that is not done well.",1
8,"BYOB","Bring Your Own Booze. A variation for those who have moved on to the harder drugs",1
9,"reefer","marijuana",1
10,"weed","marijuana",1
11,"ganja","marijuana",1
12,"toke","To inhale marijuana smoke",1
13,"bong","a long cylindrical tube made of various material used to smoke marijuana (and other smokable plants)",1
14,"hit","the inhalation of marijuana",1
15,"joint","a rolled marijuana cigarette",1
16,"tripping","when one is in a serious state of disarray, as when under the effects of drugs; but sometimes drug-free situations can induce tripping also",1
17,"hit","to strike something with a lot of force, as when the wheels of a car hit the pavement of the road",1
18,"hit","a page request made of a web server by a user's browser",1
19,"killer","very cool",1
20,"joint","jail",1
21,"pot","a toilet bowl",1
22,"coffee","a person who is coughed upon",1
23,"booger sugar","cocaine",1
24,"grass","Marijuana",1
25,"spliff","A marijuana cigarette",1
26,"hit","To kill somebody as part of a financed murder contract.",1
27,"hit","Engage in sexual intercourse.",1
28,"fly","cool, in style",1
29,"pot","A term for mariujana of any sort.",1
30,"party","to consume alcohol or other substances, as in a celebratory fashion",1
31,"rail","to have sex with",1
32,"blootered","Intoxicated with liquor",1
33,"chron","killer weed",1
34,"marijuana","A plant that gets you high",1
35,"ENDO","MARIJUANA",1
36,"hit","ugly; synonym to beat",1
37,"mashed","Seriously drunk, or high on drugs to an extreme point",1
38,"BYOC","Bring Your Own Cat. Term used for invitations to library parties.",1
39,"dank","friggin nice weed, which upon inhaling will then procede to cause the participant to become 'high' as a kite within one hit",1
40,"bird","slang (eng.) young woman",1
41,"smoke","word we use for cannabis",1
42,"meth","short for Methamphetamine.",1
43,"junk","What you use when you are busy having sex. See 'cock' or 'penis'.",1
44,"burn","1. v. to infect someone with veneral disease. ;; 2. to add data or music to a blank [CDR] ;; 3. to set something on fire",1
45,"dank","just another word for weed",1
46,"smoke","To kill.",1
47,"Blaze","smoke weed",1
48,"tata(s)","Breasts of utmost quality and/or girth and perkiness.",1
49,"BYOB","Bring your own bitch",1
50,"jibber","a rolled marijuana cigarette",1
51,"bong","a device made of clay, ceramic, plastic tubing or PVC, glass, a two liter coke bottles, or any other man made or fabricated substance that is normally filled with water to smoke fine and tasty [nuggs] of marijuanna with; can be of varying lengths and sizes",1
52,"Janky","Undesirable; less-than optimum.",2
53,"slumpin'","low down and funky, but [knee deep] enough to ride to.",2
54,"yayeeyay","affirmation; suggestion of encouragement, approval, or interest.",2
55,"hard-core","anything out of our league that can be good or bad.",2
56,"brutal","anything that makes you sweat",2
57,"skanky","Anything of or pertaining to a $10,000 hooker.",2
58,"ho-bag","a term of endearment, used affectionately for your roommate. First used in the schools' parking lot after an incident with the hall moniters.",2
59,"massive","really really good. excellently good.",2
60,"wtf","what the fuck? ;; use it in place of expletives. a more polite alternative.",2
61,"Hazy","A guys state of mind after he sees the girl of his dreams...He just can't believe it.",2
62,"hork","to steal",2
63,"hecka","see synonyms at hella.",2
64,"hella","see synonyms at [hecka].",2
65,"hecka","a description of an excess of emotion, objects, or action. ;; First used by Horatio Alger in 1902 in the streets of Lowell.",2
66,"wet wagons","to smell bad",2
67,"twomp","a twenty dollar bill. Jackson's on it. ;; 'tw' + 'awh' + 'mp'.",2
68,"ducket","a one dollar bill. $1. ;; equivalent to one hundred pennies or twenty nickels or ten dimes or four quarters.",2
69,"beefcake","to become overweight or buff",2
70,"mad","a multi-functional word: very/a lot/hard/etc. Accentuates any verb.",2
71,"A-hole","Ass hole",2
72,"Ass Kisser","The smart kind in the front of the class",2
73,"Bitch box","a public address system loudspeaker",2
74,"bite the big one","to perform oral sex on a male",2
75,"clap","a case of gonorrhea",2
76,"cluster fuck","A act of a group sex",2
77,"cob","a sharp poke or goose in the anus",2
78,"Dry hump","to rub one's genitals against someone without penetrating",2
79,"No Shit","you are kidding!",2
80,"puke","to vomit",2
81,"folks","p. noun: People, not necessarily related, to whom you are close.",2
82,"holla","v. to contact or communicate with, esp. after a long absence of communication",2
83,"dog","n. friend of the same sex, usually male. Derived from the members of the Dogg Pound. pl.: dogs",2
84,"freak-out","to experience illogical thoughts or emotions after a specific event or ocurance. ;; First used by Townsend Jones.",2
85,"raunchy","distasteful, obscene, and or just plain gross",2
86,"ENERGY","can be converted from one form to another, but it cannot be created or destroyed.",2
87,"Toss salid","To eat ass out with jelley or other type of dressing",2
88,"Rental","means of transportaion that damage is totally irrelevant",2
89,"cassette","ancient form of storring audio",2
90,"no way","impossible. I really can't imagine how that could be true.",2
91,"Goat Ass","A goats ass",2
92,"raw","syn pure, unadulterated, hard core, serious, no kidding, no shit",2
93,"Pockit Pool","male using him self to knock the balls in the hole",2
94,"AIM","digital for of communication",2
95,"ASS","1.Somthing that you yell out when you score or want to make other member feel like shit ;; 2.The place where Mr hankey (see Mr hankey) comes from",2
96,"187","code used by law informent to identify (murder death kill) ;; code used by others on pagers to signify appreciation/concern",2
97,"mission","an excursion/field trip taken at an un-announced time, necer during daylight with a purpose know to only those involved with it",2
98,"flower run","delivery of flower or flowers to an individual, never during daylight",2
99,"tofu","one level above styrafoam, one level below cardboard",2
100,"rim job","thats when you have someone lick yo ass",2
101,"'bout it","to be hardcore",2
102,"dude","term of endearment ;; used to express affection. brotherhood",2
103,"connected","term used to identify that one is carrying cellular eqiupment, i.e. cell phone / pager",2
104,"boxster","German car made by porche, that is capable of doing 0 - 62 in 6.6 seconds",2
105,"bitches","1 a group of hos beging for money ;; 2 lots of muttleys ;; 3 group of po woman",2
106,"pool","a time honored tradition only able to be participated in by those who have great skill",2
107,"nub","term used to identify anything that cannot be placed into any definte catagoy",2
108,"telephone toughguy","term to identify one who talks the talk , and walks the walk when using a telephone",2
109,"riiiiiiight","word used to accept the statement of another",2
110,"buck wild","1 crazy, insane, loooney ;; 2 females during sex",2
111,"Division 78","C-L-A-S-S-I-F-I-E-D",2
112,"tiiight","word used to defie the level of coolness or acceptance",2
113,"o.g.","o.g. : original gangsta ;; a retired gangster who sits on the porch in the ghetto and preaches to the youngsters.",2
114,"back that azz up","when a big woman puts her ass in your face",2
115,"OG","a descriptive characteristic, to be old fashioned, traditional in any sense, can be used for a person or object.",2
116,"king prawn","king prawn named Pepe that co-stars in 'muppets from space'",2
117,"panty","what men wear to make themselves feel pretty",2
118,"tweeks coffee","a brand of coffe made in southpark, colorado",2
119,"flipside","1 the opposite of something ;; 2 when the circumstances have changed ;; 3 tomorrow ;; 4 sometimes spelled 'phlippside'",2
120,"issues","word that is used to descirbe your feelings that someone should be seeking help in the mental sence",2
121,"jock","1 the strap that football players wear to protect their family jewels ;; 2 sports player ;; 3 what bitches get up on",2
122,"booty-call","the term used to express ones need for sex.",2
123,"whooped","ultimately under the control of an external source. put in check.",2
124,"hippy","tree loving, flower picking, huggin fool",2
125,"tra la la","phrase that is used by people who go on picnics, or like to make thier computers wear pink scaves; also used to identify those types of people",2
126,"gaff tape","magical substance that can answer or fix almost any problem that may arise",2
127,"yo","to identify someone ;; you use it to address someone whose name you don't know. you could also say 'dude.'",2
128,"Lyons","a franchise of fine dinning, located in many cities",2
129,"talent","word to describe a females level of cutness/sex appeal/attractiveness ;; also used to identify a girl that is appealing to lok at",2
130,"bounce","to leave a place, relocate to another",2
131,"mind control","knowing you have the upper hand over someone, or being able to manipulate them, despite any truthfulness to that situation",2
132,"skilz","word that sugests that someone has special talents in a certain field",2
133,"the game","the act of getting all the action you can",2
134,"player","guy who is sustaining supposedly exclusive relationships with multiple girls simultaneously",2
135,"shag","to have sex, or get your fuck on, to score, get some, hit it, tap it, do it",2
136,"sweet","reflects joy, a good outcome, pleaseure,",2
137,"real men","1. guys with chest hair ;; 2. guys who thig they are tough ;; 3. guys with big feet ;; 4. women with big feet ;; 5 women with mustaches",2
138,"watchers","1. A group of individuals who monitor the common everday person ;; 2. Someone who knows more than they should know ;; 3. The people who are watching you right now, and know what you are doing.",2
139,"dsl","1. high speed connection to the internet ;; 2. an abreviatin to indentify a woman who has very nice lips. (full, soft, pouty) ;; 3. dik suckin'lips",2
140,"warn","1.an action that is taken on the internet to put someone in check! ;; 2.to put someone in their place electronically ;; 3.to inform one that they are not cool",2
141,"check","1.to put someone in their place ;; 2.to realize your current position in any of many situations ;; 3.paper money you write",2
142,"velcro","1. a person who is very slow ;; 2. a household appliance and the answer to everything.",2
143,"peeps","your regular group of friends, your crew",2
144,"mah","a word that can be added to any sentence in place of 'my.'",2
145,"Lets get started  shall we?","A phrase that can proceed any sentence or set of sentences.",2
146,"dealio","to inquire what is going on",2
147,"fits","to describe an individualos clothes",2
148,"Young","describes an article of clothing that is too small.",2
149,"grill","1. One's personal business ;; 2. One's teeth/smile",2
150,"scrilla","cash money",2
151,"chedda","cash money, synonymous with scrilla",2
152,"bank","another cash money word",2
153,"blood","homeboy/homegirl",2
