,Title,Text,Class
3,annarbor,"Ranked # 1 place to raise a family . ; ; ' I am from Ann arbor , Michigan . I know what the deuce is . if you do n't , do n't bother asking . I know more names for marijuana than you have friends , and every possible way to use it . I 've done them all , and made up my own . Everything is a potential drinking game , and if you ca n't see that , you sure are n't from the same place as me . you wanna play flip cup ? Beirut ? Quarters ? Dice ? You wanna get your ass beat ? Bring it on . no , I ca n't dance , no I do n't care . You think the enemies of pioneers are Indians ? Think again , they 're river rats . Welcome to the big house , where we bleed maize and blue , not blue and gold , like every other college in the country . I know you know our fight song . Do n't even bother trying to drive your car downtown . You ca n't figure out the one-ways or parallel park . And we know you 're out-of-town because your car is n't covered in bumper stickers . Yes , it 's height in here , and yes , I 'm taking a vaahdka shaaaht right now . At least I 'm taking more than you . And what the hell is soda ? It will always be pop.there is only one Ann arbor , and kids from the deuce are simply a different breed . ' ",0
4,anotheronebitesthedust,"Damn prick , that 's total bullshit . Try really listening to it backwards , what you hear as 'it 's fun to smoke marijuana ' actually sounds like ; ; 'ISS FM sea clayey mama' ; ; I 'd normally post my usual song stuff here , but I 'm too damn lazy today . Was written by [queen ] , queen pwns , 1980 , blah blah blah . I 'm tired . ; ; very happily remade by cycle jean , rappers are the devil . Do n't buy queen the greatest hits 3 , it 's crap , buy queen rocks , instead . ",0
8,aragorn,"Aragon , son of marathon (quite possibly the coolest name ever ) is the rightful heir to the throne of condor in j.r.r . Tolkien 's 'lord of the rings ' series . He is one of the Dunedin , a sub race of humans blessed with long life . Aragon is 87 years old when he takes the throne , but he looks like he 's about 33 . That 's how cool he is . in fact , all the chicks love Aragon more than pergolas . This is scientific proof that Virgo mortensen , who played Aragon in the lord of the rings ' trilogy , is cooler than Orlando bloom . Aragon also smokes weed , though just about every character in the story does except pussy Frodo . It is widely believed that Aragon is the coolest guy in middle earth , especially because he got with live Tyler . ",0
15,artificialhappiness,"To be in a state of happiness through the consumption of drugs , whether it be alcohol , weed , ecstasy , etc . it is called [artificial happiness ] because you rely on a substance to make you happy , thus making it artificial , since it does n't come naturally . ; ; retail therapy is another form of artificial happiness in which you rely on shopping to cheer you up . ",1
16,arty1manparty,"An honorable title which can only be acquired when one reaches the state of self-enjoyment to the extent where that person can carry out a party on his own , enjoying himself and not knowing everyone else left . The parties continue even after the keg runs out and marijuana always enhances the experience ... hey ! Play some modest mouse . If you give this person any shit , be ready to get your ass kicked . ",1
34,badhop,"A baseball hit on the ground that takes an unexpected , usually sharp bounce upwards . ; ; while any unexpected movement can be considered a bad hop - off to the side or even some unusual spin on the ball - most bad hops 'leap up ' suddenly just before reaching the player attempting to field it . ; ; the negative ( 'bad ' ) nature of the term refers to its difficulty to catch ( inherent in catching a ball is successfully being able to predict the ball 's exact path or trajectory ) . ; ; not only are balls which take a bad hop hard to catch , they are often dangerous and can hit a player in the face or upper body . ; ; bad hops can be caused by dry or wet spots on the grass or dirt , small rocks or weed clumps , or even tiny imperfections or digits on the surface of the ground . ",1
44,bam-bam,"Another word for a fat blunt to smoke weed . Originated from the classic Flintstones cartoon , bam carried a big piece of wood that resembles a fat blunt ",1
66,bcbud,"1 ) a type of marijuana from British Columbia , Canada . ; ; 2 ) a term describing a form of marijuana known in the southern us ( particularly Florida ) that refers to a commercial grade bud that is considered a low grade crypt ( crypt translations : chronic , killer , etc . ) . It is , however , not mid but it is considered low grade because BC buds are generally the same price as better quality buds . This bud is noticeable by its denseness , fresh pin smell , and very light-green buds with or without a good amount of orange to yellow hairs . ",1
86,belizzerd,"1 . To be high on marijuana while in any snowy weather conditions . The decreased visibility of the snow combined with the disorienting effects of the ganja combines to make you bewildered while in a blizzard . Although snowy conditions are ideal for being blizzard , you may also be blizzard on a sunny day , if you are participating in a snow activity i .e . snowboarding , skiing ",1
88,benners,"10 pounds worth of marijuana half of this is known as a tax , and 2 banners is an eighth . This is word is mainly used in east London and a banners is commonly known as a 'tens ' in west London . ",1
